val_combination,n_neighbors,metric,precision
"(0, 1)",15,cosine,0.2475409836065574
"(0, 2)",16,cosine,0.24016393442622952
"(0, 3)",15,cosine,0.22704918032786892
"(0, 4)",15,cosine,0.2450819672131147
"(1, 2)",17,cosine,0.24098360655737705
"(1, 3)",29,cosine,0.22786885245901645
"(1, 4)",15,cosine,0.24016393442622952
"(2, 3)",29,cosine,0.22786885245901645
"(2, 4)",16,cosine,0.23524590163934422
"(3, 4)",29,cosine,0.22540983606557374
